Nº de série,Faturamento Acumulado,Despesas Acumuladas
PA051,258780.2,8499.57
PA052,220845.56,7813.5
PA053,196846.66,13848.35
PA054,353449.94,7141.92
PA055,186600.0,99331.54
PA057,49000.0,39765.9
PA059,211882.23,23066.09
PA060,252753.18,3326.05
PA061,179924.45,28166.38
PA062,33971.05,287.72
PA063,225800.0,10137.8
PA064,163006.75,9107.07
PA065,205090.68,9164.26
PA068,66317.7,4150.08
PA069,67821.71,0.0
PA070,50960.32,2505.0
PA071,57459.98,63.52
PA072,63211.62,4213.39
PA073,67368.41,5713.23
PA074,64065.0,4691.5
PA075,44637.5,214.3
PA076,55617.7,4115.93
PA077,71309.7,4346.15
PA078,55613.32,4796.6
PA079,76298.42,5427.0
PA080,57426.66,0.0
PA081,69375.07,5295.85
PA082,64761.87,0.0
PA083,65850.68,0.0
PA084,85859.70999999999,257.69
PA085,99187.61,5486.22
PA086,0.0,50112.81
PA088,62156.11,2454.66
PA089,59266.23,5232.77
PA090,82986.24,15880.12
PA091,103904.83,1515.99
PA093,44879.99,0.0
PA094,56940.04,0.0
PA095,96411.59,17504.36
PA096,54721.11,4284.01
PA097,49582.91,3956.7
PA098,51388.2,15.89
PA099,57849.979999999996,0.0
PA100,49958.16,2046.14
PA102,79845.94,15122.16
PA103,150835.72,5372.4
PA104,174135.72,0.0
PA105,138285.47,804.35
PA106,34576.6,0.0
PA107,69819.44,806.06
PA108,61985.82,5892.88
PA109,79336.66,117.97
PA110,31799.98,1019.67
PA111,52150.0,5822.87
PA112,133967.35,5477.78
PA113,170490.0,5492.81
PA114,131863.69,12218.94
PA115,107456.81,5372.4
PA116,24101.41,95.18
PA117,47501.88,119.21
PA118,105808.65,0.0
PA119,42256.98,3811.5
PA120,53891.21,4506.37
PA121,47393.36,107.52
PA122,62594.63,0.0
PA123,61672.3,825.0
PA124,100740.42,1329.26
PA125,54888.27,0.0
PA126,51356.66,15.89
PA127,64786.66,78.85
PA128,63404.95,9233.39
PA129,40792.85,4396.7
PA130,79193.33,4151.37
PA131,46822.94,440.0
PA132,45260.69,1760.0
PA133,61056.22,0.0
PA134,58053.06,880.0
PA135,175717.84,5171.4
PA136,210506.24,0.0
PA137,157467.37,0.0
PA138,143437.13,2751.62
PA139,122266.63,10691.08
PA140,52050.0,94.61
PA141,65927.96,0.0
PA142,82544.65,0.0
PA143,117193.55,87.12
PA144,69635.27,1576.06
PA145,103400.0,0.0
PA146,45635.39,0.0
PA147,38150.0,0.0
PA148,20184.03,0.0
PA149,25661.59,0.0
PA150,63707.1,4174.5
PA151,17285.6,0.0
PA152,64864.05,0.0
PA153,58489.04,200.0
PA154,58193.91,0.0
PA155,76742.51,0.0
PA156,32428.27,0.0
PA157,31950.0,0.0
PA158,68812.72,3811.5
PA159,22358.64,0.0
PA160,64700.0,0.0
PA161,52800.0,0.0
PA162,22800.0,0.0
PA163,102666.37,0.0
PA164,120674.91,0.0
PA165,128446.6,14877.92
PA166,196489.89,0.6
PA167,143589.94,14877.92
PA168,188671.1,0.0
PA169,84975.27,0.0
PA170,161014.0,0.0
PA171,101266.65,0.0
PA172,30100.0,0.0
PA173,55000.0,0.0
PA174,38700.0,0.0
PA175,61674.81,0.0
PA176,67579.95999999999,0.0
PA177,93699.97,0.0
PA178,51533.229999999996,0.0
PA179,56729.9,0.0
PA180,66949.95,644.33
PA181,88589.88,350.0
PA182,185786.1,0.0
PA183,69360.0,0.0
PA184,10633.23,0.0
PA185,79529.93,723.4
PA186,21000.0,0.0
PA187,42900.0,0.0
PA188,93438.79000000001,0.0
PA189,101000.0,0.0
PA190,84000.0,0.0
PA191,91000.0,0.0
PA192,84000.0,0.0
PA193,77900.0,0.0
PA194,63931.25,0.0
PA195,67200.0,0.0
PA196,41071.0,0.0
PA197,6700.0,0.0
PA198,26433.23,0.0
PA199,60900.0,0.0
PA201,42940.0,0.0
PA204,111072.79,0.0
PA205,73573.09,0.0
PA206,60346.56,87.76
PA207,14733.19,0.0
PA208,36000.0,0.0
PA209,24800.0,172.42
PA210,11000.0,0.0
PA211,11000.0,0.0
RE001,316819.91,1607.44
RE002,247892.2,3963.83
RE003,278500.0,14996.85
RE004,266533.13,11037.06
RE005,314699.53,15368.21
RE006,296899.78,17227.54
RE007,228166.41,2911.81
RE008,245999.88,10416.38
RE009,347899.49,49236.02
RE010,203000.0,2149.93
RE011,28499.870000000003,0.0
